Title,URL,Last Updated,Summary,Text_For_Model,Assigned_Department
Harbour Orders,https://www.gov.uk/guidance/harbour-orders,28 November 2024,"Harbour Orders are a form of delegated legislation made under the Harbours Act 1964 (HA 1964), which either amends existing harbour legislation or introduces new harbour legislation.","Harbour Orders Harbour Orders are a form of delegated legislation made under the Harbours Act 1964 (HA 1964), which either amends existing harbour legislation or introduces new harbour legislation.","{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
Self-service marine licensing,https://www.gov.uk/government/publications/self-service-marine-licensing,28 November 2024,Work out if your activity qualifies for the self-service marine licensing process,Self-service marine licensing Work out if your activity qualifies for the self-service marine licensing process,"{""bart"": ""IVMS"", ""roberta"": ""Funding""}"
Bluefin tuna (BFT) commercial fishery within UK waters,https://www.gov.uk/guidance/bluefin-tuna-bft-commercial-fishery-within-uk-waters,13 May 2025,Bluefin tuna (BFT) commercial fishery within UK waters.,Bluefin tuna (BFT) commercial fishery within UK waters Bluefin tuna (BFT) commercial fishery within UK waters.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Current catch limits: 10 metres and under non-sector pool,https://www.gov.uk/government/publications/current-catch-limits-10-metres-and-under-pool,27 November 2025,Current quota catch limits for the 10 metres and under pool including details on 2 and 3 monthly limits on stocks,Current catch limits: 10 metres and under non-sector pool Current quota catch limits for the 10 metres and under pool including details on 2 and 3 monthly limits on stocks,"{""bart"": ""Stats"", ""roberta"": ""FMT""}"
Dredging,https://www.gov.uk/guidance/dredging,30 May 2019,This guidance explains when dredging activities may need a marine licence from the Marine Management Organisation.,Dredging This guidance explains when dredging activities may need a marine licence from the Marine Management Organisation.,"{""bart"": ""Marine Licensing"", ""roberta"": ""FMT""}"
Fishing regulations: The Blue Book,https://www.gov.uk/guidance/fishing-regulations-the-blue-book,30 July 2025,The Blue Book is a single collection of UK and EU laws.,Fishing regulations: The Blue Book The Blue Book is a single collection of UK and EU laws.,"{""bart"": ""Compliance"", ""roberta"": ""SIA""}"
Marine species & wildlife: protection,https://www.gov.uk/government/publications/protected-marine-species,17 June 2025,Find out about the different marine species and how they are protected UK wildlife legislation.,Marine species & wildlife: protection Find out about the different marine species and how they are protected UK wildlife legislation.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Bluefin tuna (BFT) fisheries in 2025,https://www.gov.uk/guidance/bluefin-tuna-bft-fisheries-in-2025,8 May 2025,Applications and guidance for the 2025 Bluefin tuna (BFT) commercial and recreational fisheries is now available.,Bluefin tuna (BFT) fisheries in 2025 Applications and guidance for the 2025 Bluefin tuna (BFT) commercial and recreational fisheries is now available.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
East Marine Plan development engagement summary report,https://www.gov.uk/guidance/east-marine-plan-development-engagement-summary-report,11 November 2025,This report summarises feedback from stakeholders during the engagement period for the Plan Drafting and Policies stage for the replacement of the East Marine Plan.,East Marine Plan development engagement summary report This report summarises feedback from stakeholders during the engagement period for the Plan Drafting and Policies stage for the replacement of the East Marine Plan.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Get a domestic fishing vessel licence: 10 metres or under,https://www.gov.uk/guidance/get-a-fishing-vessel-licence-vessels-10-metres-or-under,13 May 2025,How to apply for a commercial domestic fishing licence for vessels 10m and under,Get a domestic fishing vessel licence: 10 metres or under How to apply for a commercial domestic fishing licence for vessels 10m and under,"{""bart"": ""FVL"", ""roberta"": ""FVL""}"
Marine licensing: fees,https://www.gov.uk/government/publications/marine-licensing-fees,1 April 2025,Fees information for the different marine licences and associated work.,Marine licensing: fees Fees information for the different marine licences and associated work.,"{""bart"": ""FVL"", ""roberta"": ""Conservative team""}"
Fishing vessel licence types,https://www.gov.uk/guidance/fishing-vessel-licence-types,8 January 2025,Information on the different types of commercial fishing vessel licences.,Fishing vessel licence types Information on the different types of commercial fishing vessel licences.,"{""bart"": ""FVL"", ""roberta"": ""FVL""}"
The marine licence application timeline,https://www.gov.uk/guidance/the-marine-licence-application-timeline,28 November 2024,The timeline illustrates how the assessment and approval process works once an application for a marine licence has been validated.,The marine licence application timeline The timeline illustrates how the assessment and approval process works once an application for a marine licence has been validated.,"{""bart"": ""Funding"", ""roberta"": ""FVL""}"
Deposit of any substance or object,https://www.gov.uk/guidance/deposits,30 May 2019,This guidance explains when deposit activities may need a marine licence from the Marine Management Organisation.,Deposit of any substance or object This guidance explains when deposit activities may need a marine licence from the Marine Management Organisation.,"{""bart"": ""Conservative team"", ""roberta"": ""FMT""}"
Plans for the 2025 Bluefin tuna (BFT) catch and release recreational fisheries (CRRF) within UK waters,https://www.gov.uk/guidance/plans-for-the-2025-bluefin-tuna-bft-catch-and-release-recreational-fisheries-crrf-within-uk-waters,21 July 2025,Current legislation (The Sea Fisheries (International Commission for the Conservation of Atlantic Tunas) (Amendment) (No. 2) Regulations 2024) makes it a criminal offence for any recreational fishing vessel to target BFT in the UK without a permit.,Plans for the 2025 Bluefin tuna (BFT) catch and release recreational fisheries (CRRF) within UK waters Current legislation (The Sea Fisheries (International Commission for the Conservation of Atlantic Tunas) (Amendment) (No. 2) Regulations 2024) makes it a criminal offence for any recreational fishing vessel to target BFT in the UK without a permit.,"{""bart"": ""Compliance"", ""roberta"": ""Conservative team""}"
Minimum fish landing sizes,https://www.gov.uk/government/publications/minimum-conservation-reference-sizes-mcrs,14 February 2025,Details of Minimum Conservation Reference Sizes (MCRS) in UK waters.,Minimum fish landing sizes Details of Minimum Conservation Reference Sizes (MCRS) in UK waters.,"{""bart"": ""Stats"", ""roberta"": ""Conservative team""}"
Regional Fisheries Groups – South West 7efg,https://www.gov.uk/guidance/regional-fisheries-groups-south-west-7efg,13 November 2025,"This area covers ICES areas 7e, 7f and 7g; from St Alban’s Head, round the coast of Cornwall, including the Isles of Scilly and up to Bristol.","Regional Fisheries Groups – South West 7efg This area covers ICES areas 7e, 7f and 7g; from St Alban’s Head, round the coast of Cornwall, including the Isles of Scilly and up to Bristol.","{""bart"": ""Marine Planning"", ""roberta"": ""Conservative team""}"
East Marine Plans,https://www.gov.uk/government/publications/east-inshore-and-east-offshore-marine-plans,20 September 2022,Marine plan for the east inshore and east offshore marine areas,East Marine Plans Marine plan for the east inshore and east offshore marine areas,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Bass industry guidance 2025,https://www.gov.uk/government/publications/bass-industry-guidance-2025,10 October 2025,"Information on the rules, regulations and restrictions for bass fishing from 1 January 2026,","Bass industry guidance 2025 Information on the rules, regulations and restrictions for bass fishing from 1 January 2026,","{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
The North East Marine Plans Documents,https://www.gov.uk/government/publications/the-north-east-marine-plans-documents,23 June 2021,Published June 2021 the North East Inshore and North East Offshore Marine Plans provides guidance for sustainable development from the Scottish Border to Flamborough Head in Yorkshire.,The North East Marine Plans Documents Published June 2021 the North East Inshore and North East Offshore Marine Plans provides guidance for sustainable development from the Scottish Border to Flamborough Head in Yorkshire.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Fishing vessel licence requirements,https://www.gov.uk/guidance/do-i-need-a-fishing-vessel-licence,8 January 2025,"The licence sets out where you can fish, what you are not allowed to fish and the limits for the stocks you are allowed to fish and land.","Fishing vessel licence requirements The licence sets out where you can fish, what you are not allowed to fish and the limits for the stocks you are allowed to fish and land.","{""bart"": ""FVL"", ""roberta"": ""FVL""}"
Marine plan areas in England,https://www.gov.uk/government/publications/marine-plan-areas-in-england,11 June 2014,Map showing how England's inshore and offshore waters have been split into 11 marine plan areas.,Marine plan areas in England Map showing how England's inshore and offshore waters have been split into 11 marine plan areas.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Bluefin tuna in the UK,https://www.gov.uk/guidance/bluefin-tuna-in-the-uk,28 March 2024,Information on the current rules applicable to Bluefin tuna in UK waters.,Bluefin tuna in the UK Information on the current rules applicable to Bluefin tuna in UK waters.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
"Moorings, consents and advice",https://www.gov.uk/guidance/moorings-consents-and-advice,26 February 2025,"Marine Management Organisation guidance on the environmental benefits of advanced mooring systems over traditional moorings, as well as the consent and marine licencing process.","Moorings, consents and advice Marine Management Organisation guidance on the environmental benefits of advanced mooring systems over traditional moorings, as well as the consent and marine licencing process.","{""bart"": ""FVL"", ""roberta"": ""FMT""}"
Inshore Vessel Monitoring System (I-VMS) devices for under-12 metre fishing vessels registered in England,https://www.gov.uk/guidance/inshore-vessel-monitoring-i-vms-for-under-12m-fishing-vessels-registered-in-england,25 September 2025,Guidance to assist fishers understand the role of I-VMS and their responsibilities.,Inshore Vessel Monitoring System (I-VMS) devices for under-12 metre fishing vessels registered in England Guidance to assist fishers understand the role of I-VMS and their responsibilities.,"{""bart"": ""IVMS"", ""roberta"": ""Funding""}"
Marine protected areas Stage 3 interactive maps,https://www.gov.uk/government/publications/marine-protected-areas-stage-3-interactive-map,9 June 2025,"Interactive WebApp to support Stage 3 marine protected areas (MPAs) consultation and guidance to help users make the most of this platform,","Marine protected areas Stage 3 interactive maps Interactive WebApp to support Stage 3 marine protected areas (MPAs) consultation and guidance to help users make the most of this platform,","{""bart"": ""Conservative team"", ""roberta"": ""Marine Planning""}"
Stage 4 Marine Protected Areas Interactive Maps,https://www.gov.uk/government/publications/stage-4-marine-protected-areas-interactive-maps,11 July 2025,Interactive WebApps to support MMO’s assessment and potential management of Stage 4 marine protected areas (MPAs) and guidance to help users make the most of this platform.,Stage 4 Marine Protected Areas Interactive Maps Interactive WebApps to support MMO’s assessment and potential management of Stage 4 marine protected areas (MPAs) and guidance to help users make the most of this platform.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
"Construction, alteration or improvement of works",https://www.gov.uk/guidance/construction-alteration-or-improvement-of-works,30 May 2019,"This guidance explains when construction, alteration or improvement works may need a marine licence from the Marine Management Organisation.","Construction, alteration or improvement of works This guidance explains when construction, alteration or improvement works may need a marine licence from the Marine Management Organisation.","{""bart"": ""OMT"", ""roberta"": ""Funding""}"
Technical Conservation and Landing Obligation rules and regulations 2025,https://www.gov.uk/guidance/technical-conservation-and-landing-obligation-rules-and-regulations-2025,24 February 2025,"Guidance on the technical conservation and landing obligation (discard ban) regulations from 2025, including how the rules apply, selling undersize fish, reporting requirements and quota management.","Technical Conservation and Landing Obligation rules and regulations 2025 Guidance on the technical conservation and landing obligation (discard ban) regulations from 2025, including how the rules apply, selling undersize fish, reporting requirements and quota management.","{""bart"": ""FMT"", ""roberta"": ""FMT""}"
Stage 3 Site Assessments,https://www.gov.uk/government/publications/stage-3-site-assessments,9 June 2025,Stage 3 marine protected areas (MPA) site assessments and a methodology document.,Stage 3 Site Assessments Stage 3 marine protected areas (MPA) site assessments and a methodology document.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Understand MMO marine conservation byelaws,https://www.gov.uk/guidance/marine-conservation-byelaws,17 January 2023,How MMO byelaws are made and what they protect.,Understand MMO marine conservation byelaws How MMO byelaws are made and what they protect.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Accelerated licensing for dredging,https://www.gov.uk/guidance/fast-track-and-accelerated-licensing,28 November 2024,An accelerated licensing process may apply to some applications for dredging activity.,Accelerated licensing for dredging An accelerated licensing process may apply to some applications for dredging activity.,"{""bart"": ""Marine Licensing"", ""roberta"": ""FVL""}"
Managing marine non-licensable activities in marine protected areas,https://www.gov.uk/government/publications/managing-marine-non-licensable-activities-in-marine-protected-areas,1 June 2022,How marine non-licensable activities are assessed and managed in marine protected areas (MPAs).,Managing marine non-licensable activities in marine protected areas How marine non-licensable activities are assessed and managed in marine protected areas (MPAs).,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Perform a marine seismic or geophysical survey,https://www.gov.uk/guidance/perform-a-marine-seismic-or-geophysical-survey,5 January 2022,How to notify the Marine Management Organisation that you are carrying out a seismic or geophysical survey.,Perform a marine seismic or geophysical survey How to notify the Marine Management Organisation that you are carrying out a seismic or geophysical survey.,"{""bart"": ""OMT"", ""roberta"": ""Funding""}"
Understand and apply for marine wildlife licences and report an incident,https://www.gov.uk/guidance/understand-marine-wildlife-licences-and-report-an-incident,2 March 2021,"Why you need a marine wildlife licence if you are going to disturb a protected species, how to apply and how to report an incident.","Understand and apply for marine wildlife licences and report an incident Why you need a marine wildlife licence if you are going to disturb a protected species, how to apply and how to report an incident.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Oil Spills at Sea,https://www.gov.uk/guidance/clean-an-oil-spill-at-sea-and-get-oil-spill-treatments-approved,26 February 2025,"Information on responding to an oil spill including your options, how to get a product approved and how long it will take.","Oil Spills at Sea Information on responding to an oil spill including your options, how to get a product approved and how long it will take.","{""bart"": ""OMT"", ""roberta"": ""Marine Licensing""}"
Marine Mammal Reporting Requirements,https://www.gov.uk/guidance/marine-mammal-reporting-requirements,30 January 2025,This page details the requirements for the Marine Mammal Reporting licence condition which has been in all fishing vessel licences since 2021.,Marine Mammal Reporting Requirements This page details the requirements for the Marine Mammal Reporting licence condition which has been in all fishing vessel licences since 2021.,"{""bart"": ""Conservative team"", ""roberta"": ""FVL""}"
A coastal concordat for England,https://www.gov.uk/government/publications/a-coastal-concordat-for-england,23 June 2021,Setting out how regulatory bodies can co-ordinate the separate processes for coastal development consents in England.,A coastal concordat for England Setting out how regulatory bodies can co-ordinate the separate processes for coastal development consents in England.,"{""bart"": ""Planning Team"", ""roberta"": ""Planning Team""}"
Regional Fisheries Groups,https://www.gov.uk/guidance/regional-fisheries-groups,31 December 2024,"Regional Fisheries Groups (RFGs) are an initiative set up to enable the inshore fishing sector to come together to share views and promote collaborative working with organisations such as MMO, Defra, Cefas and local IFCAs.","Regional Fisheries Groups Regional Fisheries Groups (RFGs) are an initiative set up to enable the inshore fishing sector to come together to share views and promote collaborative working with organisations such as MMO, Defra, Cefas and local IFCAs.","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Submitting Objections/Representations to Harbour Orders,https://www.gov.uk/guidance/submitting-objectionsrepresentations-to-harbour-orders,25 September 2025,"If you wish to submit a representation or objection to a Harbour Order application,","Submitting Objections/Representations to Harbour Orders If you wish to submit a representation or objection to a Harbour Order application,","{""bart"": ""IVMS"", ""roberta"": ""Funding""}"
Current catch limits: over 10 metre non-sector pool,https://www.gov.uk/government/publications/current-catch-limits-over-10-metre-non-sector-pool,27 November 2025,Current quota catch limits for the over 10 metres non-sector pool including details on 3 monthly limits for stocks,Current catch limits: over 10 metre non-sector pool Current quota catch limits for the over 10 metres non-sector pool including details on 3 monthly limits for stocks,"{""bart"": ""Stats"", ""roberta"": ""FMT""}"
Managing marine non-licensable activity in Studland Bay Marine Conservation Zone,https://www.gov.uk/government/publications/managing-marine-non-licensable-activities-studland-bay-next-steps,5 June 2023,This page details the MMO’s work on the management of marine non-licensable activity in Studland Bay Marine Conservation Zone (MCZ).,Managing marine non-licensable activity in Studland Bay Marine Conservation Zone This page details the MMO’s work on the management of marine non-licensable activity in Studland Bay Marine Conservation Zone (MCZ).,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Get an oil spill treatment product approved,https://www.gov.uk/guidance/get-an-oil-spill-treatment-product-approved,26 February 2025,"This page provides details of the efficacy and toxicity tests oil spill treatment products (OSTPs) must pass before being approved for use in UK waters, including information on the associated fees and methods for payment.","Get an oil spill treatment product approved This page provides details of the efficacy and toxicity tests oil spill treatment products (OSTPs) must pass before being approved for use in UK waters, including information on the associated fees and methods for payment.","{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Maritime and Fisheries Fund (MFF): apply for funding,https://www.gov.uk/guidance/maritime-and-fisheries-fund-mff-apply-for-funding,22 February 2021,Apply for Maritime and Fisheries Funds (MFF) and download guidance documents and application forms.,Maritime and Fisheries Fund (MFF): apply for funding Apply for Maritime and Fisheries Funds (MFF) and download guidance documents and application forms.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
UK Seafood Fund: Infrastructure Scheme,https://www.gov.uk/guidance/uk-seafood-fund-infrastructure-scheme,3 September 2024,Find out about funding available through the Infrastructure Scheme.,UK Seafood Fund: Infrastructure Scheme Find out about funding available through the Infrastructure Scheme.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Data Collection Framework,https://www.gov.uk/guidance/data-collection-framework,2 October 2025,Information on the UK's implementation of Data Collection Framework legislation (as amended in retained EU law),Data Collection Framework Information on the UK's implementation of Data Collection Framework legislation (as amended in retained EU law),"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Evidence and the Marine Management Organisation (MMO),https://www.gov.uk/government/publications/evidence-and-the-marine-management-organisation-mmo,22 October 2025,"Marine Management Organisation evidence strategy, requirements and reports.","Evidence and the Marine Management Organisation (MMO) Marine Management Organisation evidence strategy, requirements and reports.","{""bart"": ""Conservative team"", ""roberta"": ""Corporate""}"
Manage and lease fishing quota,https://www.gov.uk/guidance/manage-and-lease-fishing-quota,14 January 2020,"How you can manage, allocate, swap, transfer or lease fishing quotas.","Manage and lease fishing quota How you can manage, allocate, swap, transfer or lease fishing quotas.","{""bart"": ""FMT"", ""roberta"": ""FVL""}"
Protection of common sturgeon: advice for fishermen,https://www.gov.uk/guidance/protection-of-common-sturgeon-advice-for-fishermen,16 January 2017,"Advice and guidance on the catch, landing and sale of common sturgeon.","Protection of common sturgeon: advice for fishermen Advice and guidance on the catch, landing and sale of common sturgeon.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
"How to trace, weigh and distribute fish products",https://www.gov.uk/government/publications/how-to-trace-weigh-and-distribute-fish-products,27 November 2025,"Fishery products must be traceable at all stages of production, processing and distribution, from catch or harvest to retail sale.","How to trace, weigh and distribute fish products Fishery products must be traceable at all stages of production, processing and distribution, from catch or harvest to retail sale.","{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Marine Protected Areas Bottom Towed Fishing Gear Byelaw 2023,https://www.gov.uk/government/publications/marine-protected-areas-bottom-towed-fishing-gear-byelaw-2023,1 February 2024,MMO byelaw covering specified areas in the following 13 marine protected areas.,Marine Protected Areas Bottom Towed Fishing Gear Byelaw 2023 MMO byelaw covering specified areas in the following 13 marine protected areas.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
The South Marine plans documents,https://www.gov.uk/government/publications/the-south-marine-plans-documents,20 September 2022,The South Marine Plans were published on 17 July 2018.,The South Marine plans documents The South Marine Plans were published on 17 July 2018.,"{""bart"": ""Marine Planning"", ""roberta"": ""FDST""}"
Marine licensing applications: when decisions can go to government ministers,https://www.gov.uk/guidance/marine-licensing-applications-when-decisions-can-go-to-government-ministers,12 October 2015,The process and criteria for the recovery of marine licence applications for decision by ministers.,Marine licensing applications: when decisions can go to government ministers The process and criteria for the recovery of marine licence applications for decision by ministers.,"{""bart"": ""FVL"", ""roberta"": ""Comms""}"
Understand fisheries catch limits and closed fishing areas,https://www.gov.uk/guidance/understand-fisheries-catch-limits-and-closed-fishing-areas,23 July 2015,How catch limits are set and how to get involved in setting them. This includes current catch limits and closed fishing areas.,Understand fisheries catch limits and closed fishing areas How catch limits are set and how to get involved in setting them. This includes current catch limits and closed fishing areas.,"{""bart"": ""Marine Planning"", ""roberta"": ""FMT""}"
The Western Channel and Southwest Marine Protected Areas Fishing Gear Byelaw 2024,https://www.gov.uk/government/publications/the-western-channel-and-southwest-marine-protected-areas-fishing-gear-byelaw-2024,19 September 2025,MMO is proposing management measures for offshore marine protected areas (MPAs) in The Western Channel and Southwest region.,The Western Channel and Southwest Marine Protected Areas Fishing Gear Byelaw 2024 MMO is proposing management measures for offshore marine protected areas (MPAs) in The Western Channel and Southwest region.,"{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Brighton Marina Dredge and Disposal,https://www.gov.uk/guidance/brighton-marina-dredge-and-disposal,7 November 2025,Brighton Marina Dredge and Disposal marine licence application (MLA/2024/00394).,Brighton Marina Dredge and Disposal Brighton Marina Dredge and Disposal marine licence application (MLA/2024/00394).,"{""bart"": ""Marine Licensing"", ""roberta"": ""Conservative team""}"
